class,count,mean_confidence
doesn't_exist,2791,0.5707639177323913
person_107,67,0.8591527051108265
person_117,67,0.8342950570053108
person_19,56,0.8491745791099411
person_88,44,0.8323198374379117
person_114,40,0.8703758460642976
person_90,33,0.8028503775776423
person_15,33,0.8938092432429114
person_92,32,0.8972029257221752
person_35,32,0.8442516984470503
person_7,32,0.8500174101232204
person_40,31,0.8387780157883123
person_116,30,0.8858819592837541
person_110,30,0.8893949177566154
person_45,29,0.8202665370994887
person_23,25,0.8715388409683247
person_80,25,0.8354587937216813
person_14,24,0.8566618589009471
person_75,24,0.8246202154448663
person_83,23,0.8164379333629365
person_32,23,0.8672393894051279
person_96,23,0.8515244300011995
person_100,22,0.8570664982023694
person_50,22,0.8492352615739894
person_4,22,0.8583550356358581
person_46,21,0.849935400594523
person_13,21,0.8483313344914355
person_61,21,0.816658576165688
person_67,20,0.827595044062933
person_73,20,0.8604761401437806
person_66,20,0.85147749558137
person_101,20,0.8469843528094729
person_18,20,0.8546490468131267
person_123,20,0.8668416172875937
person_99,19,0.8601191147125222
person_29,19,0.8452301539515745
person_77,19,0.8479829095102227
person_33,19,0.8518028844684207
person_124,19,0.8340082799053823
person_51,19,0.8410565537284386
person_22,19,0.826958616064336
person_41,18,0.8699899125045154
person_63,18,0.8253809977448743
person_49,18,0.8012420555384955
person_85,18,0.8664644835714388
person_82,18,0.8401071377807539
person_95,17,0.8313831346748899
person_103,17,0.8336820925654643
person_79,17,0.8419675998577238
person_113,17,0.8344496050989068
person_68,17,0.89227887838795
person_16,17,0.8093328358154829
person_44,16,0.8394234834465439
person_47,16,0.8581134418110701
person_112,16,0.8597844110346272
person_28,16,0.8196869282249193
person_38,16,0.8261802833306102
person_74,16,0.8305824409114534
person_24,15,0.8180905664505097
person_81,15,0.8323767988780367
person_59,14,0.8433619406958577
person_34,14,0.8300533558684914
person_56,14,0.8155252097484282
person_62,14,0.8058573588275213
person_91,13,0.8264661836480099
person_84,13,0.8675586136949754
person_97,12,0.874150287047375
person_118,12,0.8752681262495595
person_102,12,0.8506687552059847
person_65,12,0.8420128321737601
person_43,12,0.8524952882350179
person_98,11,0.8359975586650794
person_105,11,0.8290085008367281
person_93,11,0.8558199450565255
person_69,11,0.8702004631033514
person_76,11,0.8455715619553161
person_25,11,0.8579621775448278
person_3,11,0.8257713643473821
person_30,10,0.8735644230813767
person_58,10,0.8133292945540218
person_89,10,0.8398305912446448
person_1,10,0.8685664876496169
person_78,10,0.808283046152311
person_9,10,0.8100715059765993
person_31,9,0.8404200844273169
person_115,9,0.8569796283631067
person_70,9,0.8158969598597956
person_121,9,0.8475708937631619
person_6,9,0.8400789795588479
person_120,9,0.8753161447108512
person_54,8,0.8332137554219263
person_21,8,0.8794245749399541
person_94,8,0.8163324734414783
person_55,8,0.8339234472043866
person_26,8,0.8641038742650496
person_36,8,0.8611770070886717
person_71,8,0.8722769091394005
person_42,7,0.8045912006126991
person_57,7,0.8154592150748051
person_108,7,0.8551191642132707
person_111,7,0.8467009406817623
person_5,7,0.8464833051003458
person_37,7,0.8550048392577878
person_109,6,0.8074960048420244
person_11,6,0.8142989609258674
person_12,6,0.8473607900832342
person_119,6,0.846718594954338
person_64,6,0.8791273529403337
person_2,6,0.8487439671583248
person_106,6,0.8278558030565981
person_104,5,0.8326468666771127
person_0,5,0.853467465003883
person_53,5,0.8246601994512052
person_87,4,0.8665013923774658
person_17,4,0.8241542008429236
person_72,4,0.81199443521762
person_8,3,0.8385474635529659
person_20,3,0.7876146966527768
person_27,3,0.8901202174952144
person_52,2,0.8056114914783404
person_122,2,0.8152331710253535
person_86,2,0.8080774003679734
person_39,2,0.8275649470580648
person_60,1,0.8629514724870957
person_10,1,0.7794628658975085
person_48,1,0.8286005325252337
